epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,2099.87,0.83082,0.59149,1.11481,0.81841,0.82535,0.83599,0.56324,1.2788,0.83111,1.3923,0.000397851,0.000397851,0.000397851
144,2114.38,0.85035,0.60211,1.13555,0.82859,0.79147,0.81064,0.53628,1.17404,0.84678,1.34731,0.000394251,0.000394251,0.000394251
145,2129.24,0.78249,0.57124,1.10584,0.86203,0.78287,0.8153,0.54886,1.1324,0.83745,1.36331,0.000390652,0.000390652,0.000390652
146,2143.76,0.81439,0.58419,1.12326,0.84627,0.76326,0.82756,0.54166,1.10828,0.81934,1.35099,0.000387052,0.000387052,0.000387052
147,2159.79,0.81984,0.58574,1.11501,0.85399,0.76977,0.81611,0.54256,1.13628,0.93036,1.38228,0.000383453,0.000383453,0.000383453
148,2174.63,0.83256,0.59395,1.12769,0.82334,0.75243,0.80559,0.54018,1.19329,0.94296,1.38714,0.000379853,0.000379853,0.000379853
149,2189.09,0.82896,0.59285,1.12418,0.82439,0.8025,0.81263,0.54188,1.15538,0.88243,1.37579,0.000376253,0.000376253,0.000376253
150,2203.91,0.79935,0.56984,1.11802,0.80095,0.81859,0.83628,0.55781,1.18282,0.81743,1.43227,0.000372654,0.000372654,0.000372654
151,2218.6,0.80419,0.58838,1.1298,0.82764,0.7968,0.79902,0.53844,1.14362,0.86042,1.42725,0.000369054,0.000369054,0.000369054
152,2233.22,0.82063,0.59782,1.1309,0.8354,0.80492,0.82358,0.56406,1.20283,0.811,1.43519,0.000365454,0.000365454,0.000365454
153,2247.76,0.82417,0.59124,1.12349,0.83787,0.79185,0.8272,0.56244,1.11522,0.81746,1.37374,0.000361855,0.000361855,0.000361855
154,2263.01,0.82749,0.5861,1.12433,0.8831,0.79871,0.83767,0.57367,1.10632,0.78894,1.36648,0.000358255,0.000358255,0.000358255
155,2277.66,0.83629,0.58363,1.10891,0.83963,0.79791,0.82314,0.57314,1.11491,0.89131,1.37168,0.000354655,0.000354655,0.000354655
156,2292.36,0.82692,0.56871,1.1097,0.82978,0.77867,0.82176,0.57321,1.15258,0.85452,1.38532,0.000351056,0.000351056,0.000351056
157,2308.25,0.79882,0.55596,1.10486,0.80959,0.80084,0.83144,0.54385,1.18172,0.85612,1.40057,0.000347456,0.000347456,0.000347456
158,2322.83,0.81344,0.57821,1.12049,0.82012,0.7838,0.83966,0.57565,1.07316,0.80754,1.32819,0.000343857,0.000343857,0.000343857
159,2337.45,0.80395,0.57363,1.11107,0.80122,0.82896,0.84033,0.577,1.06005,0.77191,1.31635,0.000340257,0.000340257,0.000340257
160,2352.13,0.80437,0.56037,1.10526,0.86071,0.79618,0.84896,0.56236,1.05347,0.76983,1.31959,0.000336657,0.000336657,0.000336657
161,2366.58,0.79232,0.5712,1.12545,0.84557,0.80641,0.85225,0.56228,1.12568,0.78219,1.36494,0.000333058,0.000333058,0.000333058
162,2381.42,0.79578,0.56218,1.10769,0.8387,0.76207,0.83458,0.5703,1.11385,0.89908,1.3689,0.000329458,0.000329458,0.000329458
163,2396.34,0.7976,0.56407,1.11421,0.85918,0.74609,0.82752,0.55688,1.12309,0.82646,1.35605,0.000325858,0.000325858,0.000325858
164,2411.09,0.80886,0.58057,1.11621,0.81788,0.79354,0.84945,0.58755,1.05285,0.81616,1.29124,0.000322259,0.000322259,0.000322259
165,2425.63,0.79574,0.57598,1.11724,0.80803,0.85059,0.8522,0.58141,1.10107,0.76949,1.36359,0.000318659,0.000318659,0.000318659
166,2440.14,0.80337,0.56834,1.11677,0.84682,0.85237,0.86531,0.58181,1.07657,0.70479,1.3349,0.000315059,0.000315059,0.000315059
167,2455.91,0.7949,0.56683,1.10929,0.84649,0.78229,0.85219,0.57512,1.0321,0.71158,1.29068,0.00031146,0.00031146,0.00031146
168,2471.58,0.81575,0.56839,1.11211,0.87558,0.77681,0.84717,0.57723,1.06205,0.78954,1.30266,0.00030786,0.00030786,0.00030786
169,2486.43,0.80189,0.56138,1.10208,0.86706,0.79105,0.83456,0.58134,1.07594,0.75461,1.34065,0.00030426,0.00030426,0.00030426
