epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,998.793,0.62857,0.4227,0.93311,0.85415,0.8418,0.82698,0.56258,1.1398,1.11303,1.41233,0.00010808,0.00010808,0.00010808
91,1012.09,0.59009,0.42847,0.89987,0.84919,0.84632,0.83997,0.56144,1.15734,1.05315,1.41957,9.9081e-05,9.9081e-05,9.9081e-05
92,1023.05,0.59984,0.41496,0.89891,0.82312,0.83882,0.82856,0.55584,1.13148,1.10745,1.3917,9.00819e-05,9.00819e-05,9.00819e-05
93,1033.25,0.58514,0.40055,0.89543,0.86832,0.82362,0.82833,0.55735,1.17143,1.15479,1.45364,8.10828e-05,8.10828e-05,8.10828e-05
94,1043.75,0.58533,0.39675,0.89686,0.868,0.83247,0.83813,0.56551,1.12374,1.03704,1.38006,7.20837e-05,7.20837e-05,7.20837e-05
95,1054.03,0.5592,0.39228,0.88939,0.81761,0.84064,0.83945,0.57935,1.10642,0.96863,1.36614,6.30846e-05,6.30846e-05,6.30846e-05
96,1064.83,0.55876,0.38118,0.89546,0.83013,0.80861,0.83912,0.5802,1.08861,0.94695,1.36305,5.40855e-05,5.40855e-05,5.40855e-05
97,1075.37,0.56351,0.38267,0.88902,0.83918,0.83,0.8404,0.57836,1.11284,0.99568,1.37812,4.50864e-05,4.50864e-05,4.50864e-05
98,1085.92,0.56294,0.38202,0.88832,0.85767,0.83239,0.83409,0.57626,1.12429,1.00249,1.38026,3.60873e-05,3.60873e-05,3.60873e-05
99,1096.11,0.56133,0.38498,0.8867,0.83265,0.84573,0.82974,0.55695,1.14089,1.02258,1.40444,2.70882e-05,2.70882e-05,2.70882e-05
